formid,CommPartnersGender,CommPartnerMaritalStatus,Stateofresidence,Farming_Seasons_to_Participate_in_2024,LandAvailableIn2024WetSeason,LandAvailableIn2024DrySeason,ReasonForDisplacement,CommPartnerHouseHoldStatus,Cooperative_unique_ID,Implementing_Partner,PovertyClassification,Comm_Partners_Age_group,Sex_and_AgeGroup,IDP_classification,disability_classification,Beneficiaryuniqueid,completed_time,started_time,username,received_on
5712169e-34e6-4922-a808-62c88ffeb820,Female,Married,Kaduna,---,---,---,I_am_an_indigene,Spouse_to_household_head,Ika8GWR51,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,IkaVXPO9240,14/02/2024 19:51,14/02/2024 19:49,ika19,14/02/2024 20:00
2d9cc0d2-a1e1-4048-be99-5ce0afbd8367,Female,Married,Kaduna,---,---,---,I_am_an_indigene,Spouse_to_household_head,Ika8GWR51,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,IkaMNDRAY45,14/02/2024 19:51,14/02/2024 16:52,ika19,14/02/2024 20:00
d90b35e9-1e45-43f6-8aab-060b26b622d1,Female,Married,Kaduna,---,---,---,I_am_an_indigene,Spouse_to_household_head,Ika8GWR51,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,IkaLKAFAF05,14/02/2024 19:52,14/02/2024 16:41,ika19,14/02/2024 20:00
310ca366-ca37-4d0f-bff8-ad19dc1e4de8,Female,Married,Kaduna,---,---,---,I_am_an_indigene,Spouse_to_household_head,Ika8GWR51,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,Ika546S9T29,14/02/2024 19:52,14/02/2024 16:36,ika19,14/02/2024 20:00
a56af331-0694-4b13-b96d-26c1f4baf61e,Female,Married,Kaduna,---,---,---,I_am_an_indigene,Spouse_to_household_head,Ika8GWR51,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,IkaDTGYDO51,14/02/2024 19:53,14/02/2024 14:03,ika19,14/02/2024 20:00
90edbd9e-b5b1-45ad-9909-77c4078ba19a,Female,Married,Kaduna,---,---,---,I_am_an_indigene,Spouse_to_household_head,Ika8GWR51,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,IkaD04BQQ24,14/02/2024 19:53,14/02/2024 14:01,ika19,14/02/2024 20:00
78361d15-1521-4a82-ba15-5d329c3539d0,Female,Married,Kaduna,---,---,---,I_am_an_indigene,Spouse_to_household_head,Ika8GWR51,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,IkaJJ724X51,14/02/2024 19:54,14/02/2024 13:59,ika19,14/02/2024 20:00
05ca3251-38a3-4e9b-b638-98fc87ca6411,Female,Married,Kaduna,---,---,---,I_am_an_indigene,Spouse_to_household_head,Ika8GWR51,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,IkaOAS8DN19,14/02/2024 19:54,14/02/2024 13:56,ika19,14/02/2024 20:00
bf8f12f4-5cd1-4619-87a1-d3a55cc15586,Female,Married,Kaduna,---,---,---,I_am_an_indigene,Spouse_to_household_head,Ika8GWR51,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,Ika7U0ZJC35,14/02/2024 19:54,14/02/2024 13:54,ika19,14/02/2024 20:00
ee3d266e-7a89-4ecd-b4d7-ee3b48761535,Female,Married,Kaduna,---,---,---,I_am_an_indigene,Spouse_to_household_head,Ika8GWR51,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,Ika7SDCQ822,14/02/2024 19:57,14/02/2024 13:50,ika19,14/02/2024 20:01
d7f1e47f-3054-40b7-817a-5fc1551a46da,Female,Married,Kaduna,---,---,---,I_am_an_indigene,Spouse_to_household_head,Ika8GWR51,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,Ika84XG6Z02,14/02/2024 19:58,14/02/2024 13:47,ika19,14/02/2024 20:01
69673b1a-a437-41bc-ae77-4b6ef8ddd1e0,Female,Married,Kaduna,---,---,---,I_am_an_indigene,Spouse_to_household_head,Ika8GWR51,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,IkaBGMH9L28,14/02/2024 19:58,14/02/2024 13:35,ika19,14/02/2024 20:01
adb829d1-b0ef-4378-9b43-f27c6081ec4c,Female,Married,Kaduna,---,---,---,I_am_an_indigene,Spouse_to_household_head,Ika8GWR51,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,IkaQNA2V948,14/02/2024 19:58,14/02/2024 13:32,ika19,14/02/2024 20:01
f4c28728-ecb7-4167-a367-0ff1e27d8b9c,Female,Married,Kaduna,---,---,---,I_am_an_indigene,Spouse_to_household_head,Ika8GWR51,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,Ika1ZF04707,14/02/2024 19:59,14/02/2024 13:28,ika19,14/02/2024 20:01
b04bd3cb-daa1-4b63-b80a-c18a08256928,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Household_head,Jah9U8843,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahNUNBWP10,14/02/2024 20:02,14/02/2024 19:59,jah68,14/02/2024 20:02
d82c2d70-1bad-4d82-9375-f63c1ac0d16c,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Spouse_to_household_head,RinDB5Y13,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,RinGM2M2847,14/02/2024 20:03,14/02/2024 19:59,rin19,14/02/2024 20:03
97a1e4a8-7513-4d94-a439-c1c543eb2c64,Female,Single,Jigawa,Wet_Season,1.0,---,I_am_an_indigene,Child_to_head_of_household,RinRMHD38,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,Rin5LCI5P22,14/02/2024 11:29,14/02/2024 11:21,rin24,14/02/2024 20:04
186bfcae-86ca-4dc4-a962-babed67764dd,Female,Married,Jigawa,Wet_Season,2.0,---,I_am_an_indigene,Spouse_to_household_head,RinRMHD38,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,Rin9DDEA951,14/02/2024 11:37,14/02/2024 11:29,rin24,14/02/2024 20:04
eb82d7ee-468c-416c-9457-741b6989f3d6,Female,Married,Jigawa,Wet_Season,1.0,---,I_am_an_indigene,Spouse_to_household_head,RinRMHD38,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,RinQBJSFQ11,14/02/2024 11:42,14/02/2024 11:37,rin24,14/02/2024 20:04
8e96e58e-5662-45bf-9345-6beae1080bc6,Female,Married,Jigawa,Wet_Season,1.0,---,I_am_an_indigene,Spouse_to_household_head,RinRMHD38,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,RinHNOLZC14,14/02/2024 11:50,14/02/2024 11:42,rin24,14/02/2024 20:04
61a8cc4b-d69b-4f02-91ec-41ec73427fc5,Female,Married,Jigawa,Wet_Season,1.0,---,I_am_an_indigene,Spouse_to_household_head,RinRMHD38,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,RinHTY0TA19,14/02/2024 11:56,14/02/2024 11:50,rin24,14/02/2024 20:04
d02ef8be-511e-47b5-baca-73c73141c3e4,Female,Married,Jigawa,Wet_Season,1.0,---,I_am_an_indigene,Spouse_to_household_head,RinRMHD38,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,RinHLAKWS19,14/02/2024 12:14,14/02/2024 12:09,rin24,14/02/2024 20:04
8a4c338f-9968-4782-a742-5fb67ba3758f,Female,Divorced,Jigawa,Wet_Season,1.0,---,I_am_an_indigene,Spouse_to_household_head,RinRMHD38,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,RinUZ1U0Q56,14/02/2024 12:26,14/02/2024 12:15,rin24,14/02/2024 20:04
32155ef0-da76-417e-9fe7-90cd33e4b188,Female,Married,Jigawa,Wet_Season,2.0,---,I_am_an_indigene,Spouse_to_household_head,RinRMHD38,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,RinV2EDFH24,14/02/2024 12:33,14/02/2024 12:27,rin24,14/02/2024 20:04
aa3d917d-ec92-4b8f-bd45-af365e4e8829,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Household_head,Jah9U8843,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahTWE5OM34,14/02/2024 20:04,14/02/2024 20:02,jah68,14/02/2024 20:04
013d0d2e-46fa-43ee-9b15-2d3ccda617d1,Female,Married,Jigawa,Wet_Season,2.0,---,I_am_an_indigene,Spouse_to_household_head,RinRMHD38,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,RinHRUFH020,14/02/2024 12:39,14/02/2024 12:33,rin24,14/02/2024 20:04
1ccec95f-370b-48c8-a799-c70249ceaa76,Female,Divorced,Jigawa,Wet_Season,1.0,---,I_am_an_indigene,Relative_to_household_head_or_spouse,RinRMHD38,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,Rin9N8KE006,14/02/2024 12:45,14/02/2024 12:39,rin24,14/02/2024 20:04
2601bd26-c42b-4ca2-8f7a-2e4dd8953db2,Female,Married,Jigawa,Wet_Season,1.0,---,I_am_an_indigene,Spouse_to_household_head,RinRMHD38,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,RinZTV6O518,14/02/2024 12:49,14/02/2024 12:45,rin24,14/02/2024 20:04
4b9c8cfb-b511-485b-a42e-076ab7d6f649,Female,Married,Jigawa,Wet_Season,2.0,---,I_am_an_indigene,Spouse_to_household_head,RinRMHD38,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,RinHX021G49,14/02/2024 12:53,14/02/2024 12:49,rin24,14/02/2024 20:04
05116c02-1705-4149-96f4-01c7e65ab1f1,Female,Divorced,Jigawa,Wet_Season,2.0,---,I_am_an_indigene,Spouse_to_household_head,RinRMHD38,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,RinX6WA8U09,14/02/2024 12:56,14/02/2024 12:53,rin24,14/02/2024 20:04
ea3f0f3c-1c26-4686-8bca-a6c784e4630e,Female,Widowed,Jigawa,Wet_Season,1.0,---,I_am_an_indigene,Household_head,RinRMHD38,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,RinGZHFI940,14/02/2024 12:59,14/02/2024 12:56,rin24,14/02/2024 20:04
d050dbc1-a3ef-4e9a-9fe5-1e9310289b1c,Female,Divorced,Jigawa,Wet_Season,2.0,---,I_am_an_indigene,Spouse_to_household_head,RinRMHD38,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,Rin0SY95N20,14/02/2024 13:07,14/02/2024 13:00,rin24,14/02/2024 20:05
7bfa7816-19bd-4dbe-bb97-c26d5143886e,Female,Divorced,Jigawa,Wet_Season,2.0,---,I_am_an_indigene,Spouse_to_household_head,RinRMHD38,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,RinX9NWUE36,14/02/2024 13:13,14/02/2024 13:08,rin24,14/02/2024 20:05
23a42b81-457b-4370-894c-8ba7b74bf9bd,Female,Separated,Jigawa,Wet_Season,2.0,---,I_am_an_indigene,Relative_to_household_head_or_spouse,RinRMHD38,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,Rin1RT3UZ34,14/02/2024 13:31,14/02/2024 13:20,rin24,14/02/2024 20:05
ca22fc28-a0cd-499b-bd48-02697221759a,Female,Married,Jigawa,Wet_Season,2.0,---,I_am_an_indigene,Spouse_to_household_head,RinRMHD38,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,RinTYC8M733,14/02/2024 13:39,14/02/2024 13:31,rin24,14/02/2024 20:05
676ec81d-c12f-42d3-a068-017f879e3da1,Female,Married,Jigawa,Wet_Season,2.0,---,I_am_an_indigene,Spouse_to_household_head,RinRMHD38,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,RinCC095040,14/02/2024 17:53,14/02/2024 16:57,rin24,14/02/2024 20:05
ea60e522-1d11-47bb-b94f-5ec680ea2d64,Female,Married,Jigawa,Wet_Season,1.0,---,I_am_an_indigene,Spouse_to_household_head,RinRMHD38,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,RinVUXSJE45,14/02/2024 17:56,14/02/2024 17:53,rin24,14/02/2024 20:05
f7a629bb-7d54-4743-9493-c9bf264961c0,Female,Married,Jigawa,Wet_Season,1.0,---,I_am_an_indigene,Spouse_to_household_head,RinRMHD38,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,Rin35MCIG28,14/02/2024 18:56,14/02/2024 18:51,rin24,14/02/2024 20:05
1ee7a651-1e4b-40da-a506-e38d9177660e,Female,Married,Jigawa,Wet_Season,2.0,---,I_am_an_indigene,Spouse_to_household_head,RinRMHD38,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,Rin8FFJH930,14/02/2024 19:01,14/02/2024 18:56,rin24,14/02/2024 20:05
294042de-4ff3-426f-a4f6-a9e06c8ae792,Female,Married,Jigawa,Wet_Season,2.0,---,I_am_an_indigene,Spouse_to_household_head,RinRMHD38,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,RinFPRYGK01,14/02/2024 19:06,14/02/2024 19:01,rin24,14/02/2024 20:05
f343f547-d6a6-40a7-8799-2b681c0b850c,Female,Widowed,Jigawa,Wet_Season,1.0,---,I_am_an_indigene,Relative_to_household_head_or_spouse,RinRMHD38,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,RinVZVTT924,14/02/2024 19:11,14/02/2024 19:06,rin24,14/02/2024 20:05
a41de165-fc3d-44c6-9235-4016ac8d23c2,Female,Married,Jigawa,Wet_Season,2.0,---,I_am_an_indigene,Spouse_to_household_head,RinRMHD38,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,Rin9BWII017,14/02/2024 19:16,14/02/2024 19:12,rin24,14/02/2024 20:05
006b4ac0-b22d-4ac7-9725-9c7b93974e97,Female,Married,Jigawa,Wet_Season,2.0,---,I_am_an_indigene,Spouse_to_household_head,RinRMHD38,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,RinB6C1AJ28,14/02/2024 19:30,14/02/2024 19:17,rin24,14/02/2024 20:05
5bd3be1d-75bf-447e-bc72-e033c76eb6a8,Female,Married,Jigawa,Wet_Season,2.0,---,I_am_an_indigene,Spouse_to_household_head,RinRMHD38,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,RinLVJU2D25,14/02/2024 19:41,14/02/2024 19:30,rin24,14/02/2024 20:05
0963b49f-c05f-4e1f-8b14-10edb7d15024,Female,Married,Jigawa,Dry_Season,---,1.0,I_am_an_indigene,Household_head,Jah832912,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahR7ZNZT07,14/02/2024 19:09,14/02/2024 19:05,jah83,14/02/2024 20:05
282fdd2f-a80a-44f2-8e09-067fde3004ff,Female,Divorced,Jigawa,Wet_Season,2.0,---,I_am_an_indigene,Spouse_to_household_head,RinRMHD38,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,RinGLKMWT42,14/02/2024 19:53,14/02/2024 19:41,rin24,14/02/2024 20:05
1cd9f0bb-e050-40af-84b8-fa66f49eb7f4,Female,Married,Jigawa,Dry_Season,---,1.0,I_am_an_indigene,Household_head,Jah832912,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahJOEO8W25,14/02/2024 19:59,14/02/2024 19:20,jah83,14/02/2024 20:05
6eb61bec-be97-4e99-b5e2-d7a5a8cb0e8c,Female,Widowed,Jigawa,Wet_Season,1.0,---,I_am_an_indigene,Relative_to_household_head_or_spouse,RinRMHD38,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,RinJMQ34A28,14/02/2024 19:57,14/02/2024 19:54,rin24,14/02/2024 20:05
a5b741ce-57b4-43fa-a384-76e8c17c2d9f,Female,Married,Jigawa,Dry_Season,---,1.0,I_am_an_indigene,Household_head,Jah832912,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahS05VFB52,14/02/2024 20:04,14/02/2024 19:59,jah83,14/02/2024 20:05
43a2ce4d-6878-4994-8284-239391d2a9d2,Female,Married,Jigawa,Wet_Season,1.0,---,I_am_an_indigene,Spouse_to_household_head,RinRMHD38,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,RinB8GAOW40,14/02/2024 20:02,14/02/2024 19:57,rin24,14/02/2024 20:05
472552dc-f722-4d4f-83d5-ea372e170b33,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Spouse_to_household_head,RinDB5Y13,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,RinIIPXA259,14/02/2024 20:06,14/02/2024 20:03,rin19,14/02/2024 20:06
41c68967-09aa-4aa1-8973-0202aeb6b93c,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Household_head,Jah9U8843,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahMXSECZ55,14/02/2024 20:07,14/02/2024 20:04,jah68,14/02/2024 20:07
e075af1b-853d-4264-a04b-09766182bfe5,Female,Married,Jigawa,Wet_Season,2.0,---,I_am_an_indigene,Household_head,JahYPGW51,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahQHN5ZZ12,14/02/2024 19:40,14/02/2024 19:34,jah43,14/02/2024 20:09
299ed395-f953-4f6d-b7e1-c3d41fb2a349,Female,Married,Jigawa,Wet_Season,2.0,---,I_am_an_indigene,Spouse_to_household_head,JahYPGW51,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahLEDX9W52,14/02/2024 19:46,14/02/2024 19:40,jah43,14/02/2024 20:09
f5370496-1bf2-416a-8d12-84fd87bbff15,Female,Married,Jigawa,Wet_Season,2.0,---,I_am_an_indigene,Household_head,JahYPGW51,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahYN3K2A59,14/02/2024 19:57,14/02/2024 19:53,jah43,14/02/2024 20:09
364ca2c3-15ec-4988-974f-e3a251e515fa,Female,Married,Jigawa,Wet_Season,2.0,---,I_am_an_indigene,Spouse_to_household_head,JahYPGW51,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahIK9UQ220,14/02/2024 20:01,14/02/2024 19:57,jah43,14/02/2024 20:09
277512a4-c7b2-4771-bc5d-84787cc3a5df,Female,Single,Jigawa,Wet_Season,2.0,---,I_am_an_indigene,Spouse_to_household_head,JahYPGW51,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahBBGWRV15,14/02/2024 20:05,14/02/2024 20:01,jah43,14/02/2024 20:09
a57c337e-d3e7-4866-8e15-2a1e6734943e,Female,Married,Jigawa,Wet_Season,2.0,---,I_am_an_indigene,Spouse_to_household_head,JahYPGW51,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahLQ0S2O46,14/02/2024 20:09,14/02/2024 20:05,jah43,14/02/2024 20:09
18d04972-3a14-4b51-9fbb-d7200c49e554,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Spouse_to_household_head,RinDB5Y13,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,RinHPU1YR58,14/02/2024 20:10,14/02/2024 20:06,rin19,14/02/2024 20:10
85b5da6f-083c-402f-a742-7944ce701148,Female,Single,Kano,---,---,---,I_am_an_indigene,Household_head,GarNFJA24,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,GarRA5D5Q25,14/02/2024 18:18,14/02/2024 18:06,ran07,14/02/2024 20:11
eaa3e188-5421-4751-a63b-e98918863976,Female,Married,Kano,---,---,---,I_am_an_indigene,Spouse_to_household_head,GarNFJA24,WOFAN,Not Poor,Youth,Female Youth,Non-IDP,Persons with disability,GarWUAIT933,14/02/2024 18:31,14/02/2024 18:18,ran07,14/02/2024 20:12
df4e7924-eafa-4059-8885-d68e0a1301dd,Female,Single,Kano,---,---,---,I_am_an_indigene,Child_to_head_of_household,GarNFJA24,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,GarTJEA8O52,14/02/2024 18:37,14/02/2024 18:31,ran07,14/02/2024 20:12
44ffa4c7-f19a-497c-84b4-bd1c5640ce2b,Female,Widowed,Gombe,---,---,---,I_am_an_indigene,Other_member_of_household,GomST2D02,WOFAN,Poor,Youth,Female Youth,Non-IDP,Persons with disability,GomOZD5TN59,14/02/2024 14:54,14/02/2024 14:51,gom23,14/02/2024 20:12
cfde6872-9e4b-4240-b67d-5a9f91b464f1,Female,Widowed,Gombe,---,---,---,I_am_an_indigene,Other_member_of_household,GomST2D02,WOFAN,Not Poor,Youth,Female Youth,Non-IDP,Persons with disability,GomWM4DVG41,14/02/2024 14:58,14/02/2024 14:54,gom23,14/02/2024 20:12
1e5df0f7-5271-4af1-b5b5-4e49a0b78d02,Female,Married,Kano,---,---,---,I_am_an_indigene,Child_to_head_of_household,GarNFJA24,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,GarWSPEO632,14/02/2024 18:42,14/02/2024 18:37,ran07,14/02/2024 20:12
f7d7580a-bedb-4c07-94b3-de17658f364a,Female,Single,Gombe,---,---,---,I_am_an_indigene,Other_member_of_household,Gom921E31,WOFAN,Poor,Youth,Female Youth,Non-IDP,Persons with disability,GomFPIE7A07,14/02/2024 19:02,14/02/2024 18:46,gom23,14/02/2024 20:12
e8c5c5aa-9b5a-415e-a7e9-5bc7ef4c1886,Female,Married,Kano,---,---,---,I_am_an_indigene,Spouse_to_household_head,KurBHWY55,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,Kur5LN36N23,14/02/2024 16:11,14/02/2024 16:07,kur03,14/02/2024 20:12
2bb322f4-8c6d-44ef-ac72-8fdc13ab7e61,Female,Married,Gombe,---,---,---,I_am_an_indigene,Other_member_of_household,Gom921E31,WOFAN,Poor,Youth,Female Youth,Non-IDP,Persons with disability,GomDUYUI631,14/02/2024 19:14,14/02/2024 19:02,gom23,14/02/2024 20:12
887dfc0c-6e41-470f-8b3d-62de44ccb75e,Female,Married,Gombe,---,---,---,I_am_an_indigene,Other_member_of_household,Gom921E31,WOFAN,Poor,Youth,Female Youth,Non-IDP,Persons with disability,GomPG0WSS15,14/02/2024 19:27,14/02/2024 19:14,gom23,14/02/2024 20:12
c038bb7b-7fc3-422a-be1d-bb1f914d8b56,Female,Married,Gombe,---,---,---,I_am_an_indigene,Other_member_of_household,Gom921E31,WOFAN,Poor,Youth,Female Youth,Non-IDP,Persons with disability,GomYXDZVK15,14/02/2024 19:38,14/02/2024 19:27,gom23,14/02/2024 20:12
fd277580-cf39-4db6-8dc1-2ad4220d6083,Female,Married,Kano,---,---,---,I_am_an_indigene,Spouse_to_household_head,GarNFJA24,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,Gar4PLPMP48,14/02/2024 19:03,14/02/2024 18:59,ran07,14/02/2024 20:12
b7193172-658e-47f7-9024-c863c72f1055,Female,Married,Gombe,---,---,---,I_am_an_indigene,Other_member_of_household,Gom921E31,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,Gom60VME138,14/02/2024 19:49,14/02/2024 19:38,gom23,14/02/2024 20:12
9e00f77a-274c-4076-b4f8-3eea1846a286,Female,Married,Kano,---,---,---,I_am_an_indigene,Spouse_to_household_head,GarNFJA24,WOFAN,Poor,Youth,Female Youth,Non-IDP,Persons with disability,GarIWOWH930,14/02/2024 19:08,14/02/2024 19:03,ran07,14/02/2024 20:12
79a37c15-49da-4c9f-8805-08b4e97fb46a,Female,Single,Kano,---,---,---,I_am_an_indigene,Child_to_head_of_household,GarNFJA24,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,GarDGE6HQ47,14/02/2024 19:15,14/02/2024 19:08,ran07,14/02/2024 20:12
b7c213ef-6dd7-47e8-b306-4b8bfbfe392b,Female,Married,Gombe,---,---,---,I_am_an_indigene,Other_member_of_household,Gom921E31,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,GomGPT90X16,14/02/2024 19:59,14/02/2024 19:49,gom23,14/02/2024 20:13
7ba87b4f-9ad5-4542-8ce1-a9a737439f2d,Female,Married,Kano,---,---,---,I_am_an_indigene,Spouse_to_household_head,GarNFJA24,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,Gar3SMOMI29,14/02/2024 19:19,14/02/2024 19:15,ran07,14/02/2024 20:13
ecbc7f5e-fc9d-4971-9d3d-d4b8f70c65f8,Female,Married,Kano,---,---,---,I_am_an_indigene,Spouse_to_household_head,KurBHWY55,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,KurXRQZC912,14/02/2024 16:15,14/02/2024 16:11,kur03,14/02/2024 20:13
39a1347e-c142-43b7-8deb-9d8c35332a20,Female,Married,Kano,---,---,---,I_am_an_indigene,Spouse_to_household_head,KurBHWY55,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,Kur0N7RC454,14/02/2024 16:21,14/02/2024 16:16,kur03,14/02/2024 20:13
2721e994-986b-406e-a5e2-1da1ce34d3da,Female,Married,Kano,---,---,---,I_am_an_indigene,Spouse_to_household_head,GarNFJA24,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,Gar8SANQ636,14/02/2024 19:24,14/02/2024 19:20,ran07,14/02/2024 20:13
53bf3bc1-6461-4249-9414-a212cd25d76a,Female,Single,Kano,---,---,---,I_am_an_indigene,Child_to_head_of_household,GarNFJA24,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,GarX5HBY202,14/02/2024 19:29,14/02/2024 19:24,ran07,14/02/2024 20:13
784bb2d1-1a47-4325-9c9e-6147f4f19990,Female,Single,Kano,---,---,---,I_am_an_indigene,Child_to_head_of_household,GarNFJA24,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,GarYK6RN311,14/02/2024 19:33,14/02/2024 19:29,ran07,14/02/2024 20:13
a303a8b1-6995-4483-8567-b6586357e3a3,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Spouse_to_household_head,RinDB5Y13,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,RinIHD21V40,14/02/2024 20:13,14/02/2024 20:10,rin19,14/02/2024 20:13
cfb6c609-91dd-411c-a4ab-7c161c3198c3,Female,Single,Jigawa,Both_Seasons,2.0,2.0,I_am_an_indigene,Household_head,RinSB2M02,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,Rin56TR1432,14/02/2024 20:13,14/02/2024 20:01,rin19,14/02/2024 20:13
d24b69a2-af95-4f26-9907-3fd1b74b0420,Female,Single,Kano,---,---,---,I_am_an_indigene,Child_to_head_of_household,GarNFJA24,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,GarZY75GA34,14/02/2024 19:55,14/02/2024 19:49,ran07,14/02/2024 20:13
