formid,Equipmentsgiventothecluster | Modified_Motorbike_for_PWDs,Equipmentsgiventothecluster | Modified_Tricycle_for_PWDs_(Hand-driven),Equipmentsgiventothecluster | Micro_Portable_multi_sheller_and_maize_milling_appliances,Equipmentsgiventothecluster | Fabricated_stoves_with_chimney_2_sets,Equipmentsgiventothecluster | burner_base_(6_sets),Equipmentsgiventothecluster | Mini_rice_miller,Equipmentsgiventothecluster | Mini_Destoner,Equipmentsgiventothecluster | Others,Equipmentsgiventothecluster | extra,NumberofModifiedMotorbikeforPWDs,NumberofModifiedTricyclesforPWDsHand-driven,NumberOfMicroPortablemultishellerandmaizemillingappliances,NumberofFrabricated stoves with chimneys,Numberof FabricatedRiceparboilerspot/burnerbase,NumberofMiniRicemiller,NumberofMiniDestoner,Please Specify numberofothe equipment,Qty of Treadle pump,Qty of Fertilizer planter,Qty of Umbrella,Date,State,Implementing_Partner,Cluster_Unique_ID
6ffd2a8e-a562-4f17-8116-d0d6061fec59,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahWS1027
4af853a3-ab9a-40ea-8e9c-7ee810988e6e,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahBLWN03
099aefdb-719c-4c3a-80de-e5abe5e7a77f,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahD6PN18
53abd513-d300-4278-8fa7-57bdd992a53b,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahLBW027
2c6d6649-d8bf-4239-846c-7b24c6d9d132,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahVMNN27
a93267ac-287e-4ac2-82e4-d716bca696a6,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahCJHI21
484b102e-a370-4d87-941e-d928726d4a14,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahJ09307
929c715a-c98a-44b4-b0b7-4745711b5137,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahXUJX01
ddf98d00-185c-42f2-9c39-eebbbd6b0756,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahAUP033
d80c1aee-29fa-408a-9c38-67db84e39592,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahE4MC18
8b29b5f4-144c-43ee-8acc-de76bcc0a2b6,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahAHEN19
85116089-348f-460c-b262-2b0020008695,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,Jah9YK615
3b025dbe-c653-4251-a726-9c6aa553cdfd,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahNWTX49
4f9b24fa-6d51-4147-807c-71ed2a1904d5,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahWUDX32
e000494f-c65b-44eb-9600-012a8d390762,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahEIPR34
db376e6c-cd95-40cf-94d7-2aa6b6cf244f,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahIFLA55
cbd6fa8b-0a2f-487a-a40c-e5d127252d06,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahIFLA55
2116fec8-5cc5-4922-8bfe-323661d9a036,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-08-26,Jigawa,WOFAN,JahW2B100
4a718b38-1271-4c92-a61f-78a773c594a1,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahHLBP50
54a1c757-c008-475a-978e-b14340a23477,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahIV9J39
52c8dd9c-b610-4376-8e2d-ec6812a19ef9,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahRS2L51
86f0ed0f-4658-431b-8dcf-2e988b9e80f0,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahCBHS27
d67fe4dc-11b1-4459-a559-01ad99673eae,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahZT5P38
1957e8f2-afbb-4f77-883d-13673ec4ca79,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahIAS924
92cef10a-7e43-4766-aa0d-82bfd0807491,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahUPWL23
3c4804be-83e3-4ca7-963c-60dc2d690ca5,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,Jah6KYV24
e54f12b2-9a42-47b1-ad1e-c0d957ce22ab,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahOG2L18
7f713b72-6368-40b5-831a-76bc56f7b085,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,Jah7DN851
f96bef43-ca7d-4e57-af35-0819b51609c1,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahSZKY29
9f5475da-084b-4b24-a382-8eee7324351c,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahC0IT04
997a5f3c-2eea-4f58-9d4f-5fa20a2bf1fd,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,Rin689Y24
97665a05-d381-47cb-8b03-a9f173ce6178,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,RinWAP700
d39f3109-e485-4221-95f1-21ade4e9b50b,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahPD7G27
9e6d0fce-7c7e-44c3-a6af-982206f06a99,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahLLJ421
2db46bd6-69bb-45d1-b05f-f727cbe78a0a,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahMJDG38
cce5b559-a02a-4055-8fe4-aeca556d8bf7,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahT53W36
8ff0144a-00d0-4e53-9d89-66b8f333f761,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,RinWYDP35
bb398dfb-50ef-406f-aa91-ebc17317e3f3,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,Jah3UFX38
9b0f8408-e8d9-4df7-bd62-6d5ec9c1def4,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,RinQM3C33
8857a85a-30a3-4287-a531-bfbfe71078bb,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahFOE109
a41c4c37-437e-499a-88fa-ccb1b282a24a,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahBVLC25
76d6f385-c1fd-41b6-b652-0b124a7f6a60,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,Rin024V13
0965e1be-d165-46b2-8da9-335c0e199d08,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahG89V55
8bbc6029-bc41-41fc-80d4-f11bd5bb7fff,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahORVC32
510e3ce0-fe5c-4189-8057-59b291e65e4c,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,RinZRG657
4dc17631-6cf1-4b30-8cf3-84cec3d113c2,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,Jah8B3P35
1e346ffc-ed02-4c10-a7b0-e9d310cfb935,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahY9R628
554b4f27-4656-4690-92b5-89a6824f1c68,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,Rin1QG022
dc8d42af-4852-488b-8d2b-4e7b23b46736,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahW13N01
63dbf2da-0f57-414d-9b23-39de9355aa9d,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,RinCJOB07
b534a313-9565-4839-b3c6-25f3de669615,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,Jah668F48
eea87844-7bda-4027-b9c2-b0d055888f4b,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahWDFK23
0d700ced-a701-4c7f-b1e4-fb881d904fb3,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,Rin78EE24
bc842c0c-e8ff-4acf-a3ba-f60db3632237,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahYU5256
804f1df3-5ac5-4cde-8f15-a12d0bf6622f,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahDT8F48
83a28dc5-b1b5-4f4c-8bfa-56249f901c71,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,RinEKQ806
5a3c5134-e573-4ce0-a6d8-c695dbb518b5,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,Jah0L4M33
dd071499-bf80-46a1-886d-8f0df488f0c0,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahUW4K11
87f23d7b-da87-4a08-9ac4-3e834c238c16,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,RinP2YM14
3094bb31-f7fd-4ba1-a0a6-173bb712e23e,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahO2FK54
acac6b13-7a50-47e4-8466-98b304717df1,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,RinU5B642
5743daf6-a970-4c48-82f4-1e246688cd34,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,Jah3C3Z58
edaedb49-9632-44f0-8759-3b382f4dcef9,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,Jah8QN741
65e8d889-1a4e-455e-a90d-39cda71e63f1,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,RinQJZ427
91778548-0df6-41b5-8b0a-26c0bf2c172e,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahGNSG38
459dfc7d-5290-4228-804c-42aff3aeaf80,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahNWWD21
3e546439-cc83-4f8d-9d5d-91ee71c9add3,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,RinIVOT20
85bf24ed-9ab7-419e-a18d-48a23e562e91,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahOZ9O32
efcc5379-c4e9-43ef-b362-9244a7787d8b,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahGR7O09
4e6fe97a-f55c-4c16-b014-572d13c75cb5,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,RinCKFO55
93e002fa-a135-415c-9869-df89656e22e0,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahN57Z01
0f60d244-cc49-471b-873e-feddf38aa3c3,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,RinPW0621
bcc266e9-2552-486e-a590-d3ce1c2b201a,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahOAPY40
60bb0d75-fb5b-47bb-ac68-d0fb367c52cd,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,Jah7U7319
c4aaaf7e-2974-4159-9866-86489a81ec8a,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,Rin3HCD31
100c7f0f-a988-4975-9251-e3cca36021e0,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahGWXD03
38e002b5-37ab-4636-970b-432f9900e3da,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,Rin84P129
a1862a85-e7a3-48a8-91aa-b3035d68bb6d,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahP1CZ40
d013dd43-78f4-4668-a3eb-676ae75bb9e0,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,RinQGFK12
71d7836d-f0c8-48cf-82f2-32399defd3d4,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahAECW25
f7637793-23d1-4c1b-b4c1-5d075e784a15,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,Rin9AVV41
2688839e-200c-4d51-890e-cc9d5ec14abc,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,Jah55QO15
163a173e-f0b0-42f2-95ab-82b92ae552fb,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahELGL56
e2d1e937-54a1-444d-9365-2bed16a27b6d,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,RinFAOY21
cd41b235-65da-4006-b3a2-579daafcfa9e,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahG8JG39
a7d15d4d-2efe-47fc-956c-bf33035d606c,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,RinRAWM10
07c20f68-eaa0-4bc2-8f7b-6d0d77d1b7aa,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahLWWA25
b99e36bb-30de-490e-817e-d2b8d1bd7b86,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-08-26,Jigawa,WOFAN,JahRBTN03
7517bd06-9936-448d-bf86-cf4317e033a0,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,RinSLNF22
1451e68a-a954-43aa-9aa6-b28f6d7950ae,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahGCOR06
f95fabf2-56cb-4b11-bd0b-7a065b5e2055,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahLZMK25
9a31ecf4-932b-4ded-acfb-336799dc8d1e,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahCXB137
a00222dc-f13f-4efc-a17b-7d19ae682fc8,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-24,Gombe,WOFAN,ShoQMZ721
cac9855c-b599-4899-9414-5baee5c7688e,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,Jah4CB633
eb83813a-fe34-48ca-b65a-7642043f1166,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-24,Gombe,WOFAN,ShoRHVP21
6872d8a6-059e-4b5b-9c7f-c4fa8c6130e2,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahFHIV18
a3ecefaf-1671-4307-a22e-76c30de9dd0b,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahCEZC48
9b6f7ad6-dc4b-40b1-abfa-e06b1847b1cc,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-24,Gombe,WOFAN,ShoX5OJ38
a713f859-10c3-4d4b-b0c6-f4c533fd8bb2,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,Jah2D5Y26
f746f77a-9318-4e63-aace-171b779e3563,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahKNLV08
81d00fc4-61ee-4c3f-b20a-c1ea0a58bccf,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahUNB934
2d98a2bd-ec1c-4275-94af-86d67b7cf968,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahCIM611
f2d102c0-bb10-4a2b-9315-a09872142942,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,TauI3IH39
55f56143-8afd-45db-a2fe-5f1c2fd07e0f,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahI1VK43
c6db5e9e-e0fa-4aa5-835b-0471143384d2,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,TauUA7F16
ae7ca91a-8cbf-40a2-b6f6-ecf43301dc4f,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,Jah2QVX49
dc50b94e-7fe3-4094-80cc-b1620564b029,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahNTS457
c4b99a02-c51e-4ef7-89a4-eb8d862ef461,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,TauE29933
53c14ef9-fa70-4bd1-98af-e516829e7a7d,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,Jah56B539
3970259f-577a-4699-ae69-342cd96a1327,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,TauICK426
fa1c40e7-729b-4c51-bfbf-1ae19601299d,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Gombe,WOFAN,Kal4J5G53
67861511-f613-46cb-b2f1-8bd9526d15b7,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,TauAMBK52
6680afeb-572d-49ab-9ce9-f420ee98a377,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-24,Gombe,WOFAN,KalOUWM20
a76486ad-66cd-4ca6-8504-8c6dc52a78f6,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,TauYIIO54
4cb955b6-f176-43d3-9ede-8fdcd9ee7b62,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Kano,WOFAN,BebRMYP53
4c877654-67d0-4eae-8f26-aaca4ea4cbe0,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,TauXGM829
82cc89e5-bea7-4c93-9303-86d8ab9e3bbf,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-18,Kano,WOFAN,BebH9DF58
c2446de2-b2d5-408f-9c83-ef1fe3154533,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-18,Kano,WOFAN,Beb2R3O12
23b81f66-da3b-4cc3-874b-41579c5f5e04,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,Tau2XW929
b57c4f49-32b3-4e04-847e-cc61ca27a951,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Kano,WOFAN,BebLFTQ31
1273b082-90c2-4051-a110-aba34cd8ebff,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-18,Kano,WOFAN,BebNG5D23
30811a39-a019-4cad-a89f-b667da566a6b,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,Tau00T741
7ffa2159-77c1-422b-981f-1f01ec30386f,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,TauG3R955
485e8571-f9a4-4f8c-8bb7-b0072edcde2d,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,TauHLBO01
5d2a2ed8-2bd9-4a0b-b701-2072c77f459c,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-18,Kano,WOFAN,KirMDUZ47
2d72a18d-24ba-48e4-b81e-514956fe89a1,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,Tau052826
dbbd6460-3c06-4196-86ea-aff8e530e309,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-18,Kano,WOFAN,Kir9OP158
33ac7102-a753-4dbf-a501-c448838effde,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-18,Kano,WOFAN,KirZ3DT45
679d45ca-bf04-4607-b30e-1d1f4925dca8,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,TauO4DV49
7425e672-1d10-4c70-bf0e-2adecadc11fe,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,Tau09V727
d3103dc7-6c37-415f-b911-e31b972d8c6a,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,Tau6HWB20
6e9d20aa-a5cc-4b01-9e52-0a73df5440f2,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-18,Kano,WOFAN,BebSQII42
adfe094c-3557-4b52-b1c7-10e8bafd9af8,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-18,Kano,WOFAN,Beb51AQ31
32ee833a-756b-404b-b194-9f7af5ffcc39,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,Tau2D3Y50
455e65a2-2065-49f2-bec1-ac3357a8bbc5,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-18,Kano,WOFAN,BebFH8D19
0ffd978d-f95c-4713-b4ac-6249f541bb12,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,Tau3Q9V21
a8458311-03b4-4652-922a-22d02bdbaabc,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Kano,WOFAN,Beb7QFE24
501adb77-4d05-4508-9e8a-461e4b122407,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-18,Kano,WOFAN,BebLB6O08
19e8424f-9d9f-496a-b7ce-135dd2ef3d2d,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,TauW2YT47
70849c4b-95d1-4ad4-baf6-f5baf26f5f95,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-18,Kano,WOFAN,BebPRC934
5b15b051-55e0-46c2-85a0-3a54d61352c2,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-18,Kano,WOFAN,KirF45B33
7890e300-b18e-4b0d-8f51-fe9d975cdac6,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,TauVFWO49
6964690a-e7c9-4393-b236-c1a4858306d4,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-18,Kano,WOFAN,KirZI5A01
314037ab-7f89-40f6-86ca-4c200212a38d,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-18,Kano,WOFAN,Kir3HFP26
4c1677b5-b80b-49f9-bff6-468f29af0ddf,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-18,Kano,WOFAN,BebYHVT07
fac5b6c1-4cca-49a6-a9db-de46dd0b5de4,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,TauOHDD02
0a5c392a-d88c-4619-992d-0645e3309847,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-18,Kano,WOFAN,BebO6XI08
689353ab-02b1-4de7-b8eb-4aa5ccdd6d4f,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-18,Kano,WOFAN,BebTOF239
8b5c74ad-766d-4556-86c9-dcd5b16e897c,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-18,Kano,WOFAN,KirID9D45
8b4a3d87-9644-490e-926a-651855ee4b75,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,TauALLJ28
a262b3f2-ff3c-474c-9aeb-173b5aec4c38,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-18,Kano,WOFAN,KirSW8J26
4ff21837-67b9-455c-bda2-2dd88039ed2d,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-18,Kano,WOFAN,KirZOVP30
9160d50f-cbc0-4a38-ac36-ed5924a3ebc4,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-18,Kano,WOFAN,TudZ9TC08
c3d2d55e-8180-46f2-a340-e28359064349,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-18,Kano,WOFAN,TudY9WC18
469f41fc-ed1c-492a-8421-1e09edeba5cd,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-18,Kano,WOFAN,TudC10Q45
be5ce629-4a35-4810-904c-02eabeabe40e,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-18,Kano,WOFAN,TudVTGV01
