formid,9   Equipment(s) given to the cooperative? | Tricycle_Transporter,9   Equipment(s) given to the cooperative? | Others,9   Equipment(s) given to the cooperative? | Tricycle_carriers,9   Equipment(s) given to the cooperative? | extra,Number of Tricycle Transporter,Date,State,Implementing_Partner
aaa6af35-b57d-4d9e-8467-cf67332d6c91,1,,,,---,2024-08-12,Kano,WOFAN
5a6dc428-6e8d-4575-9341-4b3dabe2f082,1,,,,---,2024-08-10,Jigawa,WOFAN
6bbed42b-d2e5-4830-93db-e7eba5e6e0ee,1,,,,---,2024-08-12,Kano,WOFAN
868d8c6b-88d5-470d-9fa1-cfdb42157821,1,,,,---,2024-08-12,Kano,WOFAN
6324b330-1e34-41a4-8785-735ea6600873,1,,,,---,2024-08-12,Kano,WOFAN
640c45e6-9aaa-4faa-9360-f3ee5dab6a24,1,,,,---,2024-08-11,Jigawa,WOFAN
52c71bfb-bf7f-417a-896c-7d4531b2f2cf,1,,,,---,2024-08-12,Kano,WOFAN
843567a9-0e71-4e9d-b83f-684399ace513,1,,,,---,2024-08-12,Kano,WOFAN
74421533-ccc8-4fc6-9878-44db336c25b5,1,,,,---,2024-08-12,Kano,WOFAN
94207d00-419f-42ce-8868-f93068eb5f4b,1,,,,---,2024-08-12,Jigawa,WOFAN
b17aaf43-81f1-4795-986d-9423981a77e0,1,,,,---,2024-08-12,Kano,WOFAN
e37e6a0c-049c-4466-80bb-957089d1f7e2,1,,,,---,2024-08-11,Kano,WOFAN
1c5764bb-d081-4888-98fd-07f62f5f7efa,1,,,,---,2024-08-12,Kano,WOFAN
140ae321-be05-4819-b259-39ce0fb02f3f,1,,,,---,2024-08-11,Jigawa,WOFAN
8ac3e316-79d2-4cfa-8250-5bad6a7fc183,1,,,,---,2024-08-11,Jigawa,WOFAN
ce37eea2-712a-44d5-a596-bc23fa25702f,1,,,,---,2024-08-11,Jigawa,WOFAN
86228dbd-f6a4-4c69-b7d5-d5f83deaf0d3,1,,,,---,2024-08-12,Kano,WOFAN
8ed2c302-60b8-4760-95a7-378dccdc0dce,1,,,,---,2024-08-12,Kano,WOFAN
421f43ca-0dd8-48b0-afe1-4c7652436a88,1,,,,---,2024-08-12,Kano,WOFAN
ccbb63bf-64e6-4067-90a2-28fccc705086,1,,,,---,2024-08-11,Jigawa,WOFAN
b8884cfa-ee6c-42db-80a0-9ac9c1923ad6,1,,,,---,2024-08-11,Jigawa,WOFAN
0be61c8b-28e2-4590-a56b-aabf4758a80f,1,,,,---,2024-08-11,Jigawa,WOFAN
1207a901-58b8-404c-a9b8-aef9f4d072ab,1,,,,---,2024-08-11,Kaduna,WOFAN
f0a201b1-2da4-4b42-a25d-d1cc80da71cc,1,,,,---,2024-08-11,Jigawa,WOFAN
4827438e-7217-417f-be7d-683987a598bd,1,,,,---,2024-08-12,Kano,WOFAN
b2ac987e-66da-4111-bb69-1e4df0eff5e8,1,,,,---,2024-08-12,Kano,WOFAN
fb506eda-49a6-4399-a332-17e5553e6789,1,,,,---,2024-08-12,Kano,WOFAN
9ca6fbca-b34f-45fb-adb1-f5da53682831,1,,,,---,2024-08-11,Jigawa,WOFAN
8e8c63cb-587d-49a1-85d7-3cb561787425,1,,,,---,2024-08-09,Kaduna,WOFAN
39ac743f-b887-45c0-b382-add3ce009756,1,,,,---,2024-08-12,Kano,WOFAN
ac11caca-3278-4a6d-a205-d023f73c99a7,1,,,,---,2024-08-19,Kaduna,WOFAN
9a0e5930-98d0-4944-b5a3-e34aadbfe5b8,1,,,,---,2024-08-12,Kano,WOFAN
07accd53-95a6-40b4-8107-78482953e0c1,1,,,,---,2024-08-12,Kano,WOFAN
d41b4db2-5c28-4b49-9657-765dae20a6ba,1,,,,---,2024-08-12,Kano,WOFAN
1ef7ceed-83f0-4636-9100-3634e7d6f30e,1,,,,---,2024-08-11,Jigawa,WOFAN
ea2af6f8-656c-4c84-acc4-cbd69800a71f,1,,,,---,2024-08-10,Jigawa,WOFAN
9d4b4faf-6a3f-4bce-afbb-09bc073635c2,1,,,,---,2024-08-12,Kano,WOFAN
9f35ce93-3297-4691-b4c9-b5b518488311,1,,,,---,2024-08-12,Kano,WOFAN
4f290e11-5f39-4c2d-a6d8-6c5ee6c03834,1,,,,---,2024-08-10,Jigawa,WOFAN
5c118bd5-22d8-4601-8f36-1b98d30cf133,1,,,,---,2024-08-12,Kano,WOFAN
f4123e8f-cfb4-4e20-82f5-ea524271a605,1,,,,---,2024-08-12,Kano,WOFAN
9fed4fdd-2847-44e8-9858-219974e401a0,1,,,,---,2024-08-12,Kano,WOFAN
97c60d1b-9a06-4cc6-8804-18e8d600a0ed,1,,,,---,2024-08-09,Kano,WOFAN
549525d5-819d-4472-9fee-5d431a12193e,1,,,,---,2024-08-12,Kano,WOFAN
6df13420-0132-4f0b-adbf-665f345719c0,1,,,,---,2024-08-09,FCT,WOFAN
159ad818-27ed-4434-ba3e-076dc97374b0,1,,,,---,2024-08-12,Kano,WOFAN
a9b003ee-978f-435d-ac95-b79c049acba0,1,,,,---,2024-08-10,FCT,WOFAN
c9779f77-6f29-4597-aa58-4fbac2b5ec39,1,,,,---,2024-08-10,FCT,WOFAN
545d10a4-b8b9-43f3-bb5c-29a1bc5c90fc,1,,,,---,2024-08-10,FCT,WOFAN
0f1b168e-c5c2-4c64-96ea-8140edea127b,1,,,,---,2024-08-10,FCT,WOFAN
5c7e158c-cd26-4d11-b2e0-6283261bf7db,1,,,,---,2024-08-11,Jigawa,WOFAN
4bcc2af1-329e-4714-9941-984fc7d307ea,1,,,,---,2024-08-11,Jigawa,WOFAN
2ad85c61-4702-4804-9585-50d002c7b7b3,1,,,,---,2024-08-11,Jigawa,WOFAN
956561f0-3521-41a5-8cae-4a98849aa0db,1,,,,---,2024-08-11,Jigawa,WOFAN
09310d2e-f152-481e-8649-5e766b353e4a,1,,,,---,2024-08-11,Jigawa,WOFAN
e67a3142-2665-4be8-9e2f-c066d4c00d54,1,,,,---,2024-08-11,Jigawa,WOFAN
9edb7b55-79b8-4034-924e-9678f172dc18,1,,,,---,2024-08-11,Jigawa,WOFAN
751d1e21-8db5-4237-9bbe-e839b6d0da1e,,,1,,2,2024-09-24,FCT,WOFAN
