form/generatedCommPartnerUniqueid,validation,State-IP
P-Sab6CVANX47,Keep,Kaduna-WOFAN
P-Sab5U689B47,Keep,Kaduna-WOFAN
P-RinSWWKLC20,Keep,Jigawa-WOFAN
P-SabXCH0QX36,Keep,Kaduna-WOFAN
P-RinOFW4TA34,Keep,Jigawa-WOFAN
P-SabII9YY327,Keep,Kaduna-WOFAN
P-ShoJUO5XB27,Keep,Gombe-WOFAN
P-Rin7Q2J5322,Keep,Jigawa-WOFAN
P-SabOOZNMF05,Keep,Kaduna-WOFAN
P-Rin60YY5431,Keep,Jigawa-WOFAN
P-SabFSBA1C19,Keep,Kaduna-WOFAN
P-Rin7WDMC245,Keep,Jigawa-WOFAN
P-SabJOI3I200,Keep,Kaduna-WOFAN
P-RinWSI16K19,Keep,Jigawa-WOFAN
P-RinF8ILQB05,Keep,Jigawa-WOFAN
P-RinF2SZPV42,Keep,Jigawa-WOFAN
P-Rin8BOW1Y41,Keep,Jigawa-WOFAN
P-Rin1T1WBB27,Keep,Jigawa-WOFAN
P-RinJ4WK0741,Keep,Jigawa-WOFAN
P-RinCI5NYU17,Keep,Jigawa-WOFAN
P-RinZMZFSN06,Keep,Jigawa-WOFAN
P-Rin7N55SZ26,Keep,Jigawa-WOFAN
P-Rin5C1M6551,Keep,Jigawa-WOFAN
P-RinGZFVA214,Keep,Jigawa-WOFAN
P-AbaMS2OJT16,Suspend,FCT-WOFAN
P-Rin1LSZ9N53,Keep,Jigawa-WOFAN
P-AuyXPLD9Z15,Keep,Jigawa-WOFAN
P-RinKHVCIQ54,Keep,Jigawa-WOFAN
P-Rin45G3Y731,Keep,Jigawa-WOFAN
P-RinBMWXP802,Keep,Jigawa-WOFAN
P-DutK50JL739,Keep,Jigawa-WOFAN
P-RinDMW2AK32,Keep,Jigawa-WOFAN
P-JahVQV5RV38,Keep,Jigawa-WOFAN
P-NinMYRF7015,Keep,Bauchi-WOFAN
P-TauT398NY22,Keep,Jigawa-WOFAN
P-NinJKWO6S31,Keep,Bauchi-WOFAN
P-Auy827QB328,Keep,Jigawa-WOFAN
P-NinI7IS9243,Keep,Bauchi-WOFAN
P-Jah0EBM8T50,Suspend,Jigawa-WOFAN
P-Nin1UZASC43,Keep,Bauchi-WOFAN
P-MadYVYBYR17,Keep,Kano-WOFAN
P-NinPZ6OWL07,Keep,Bauchi-WOFAN
P-Mig1KU8M032,Keep,Jigawa-WOFAN
P-Mad98JLTI33,Keep,Kano-WOFAN
P-MadR44LS945,Keep,Kano-WOFAN
P-MadG4CXHA54,Keep,Kano-WOFAN
P-DutV8K0EX25,Keep,Jigawa-WOFAN
P-JahT0AKND47,Suspend,Jigawa-WOFAN
P-Bau8GDTGD14,Keep,Bauchi-WOFAN
P-ShoXE2RKR11,Keep,Gombe-WOFAN
P-Sho4QKKGG28,Keep,Gombe-WOFAN
P-ShoMJ8MM023,Keep,Gombe-WOFAN
P-Sho23H84P38,Keep,Gombe-WOFAN
P-ZarXOPU6T48,Keep,Kaduna-WOFAN
P-Sho506G2C37,Keep,Gombe-WOFAN
P-ShoY46KY931,Keep,Gombe-WOFAN
P-ShoTLYCND52,Keep,Gombe-WOFAN
P-ShoOEP96K07,Keep,Gombe-WOFAN
P-ShoIRPCLA44,Keep,Gombe-WOFAN
P-ShoS96UU103,Keep,Gombe-WOFAN
P-ShoF5A5UW45,Keep,Gombe-WOFAN
P-ShoY1QOZE35,Keep,Gombe-WOFAN
P-ShoKN3BNO02,Keep,Gombe-WOFAN
P-Sho1YH4US21,Keep,Gombe-WOFAN
P-ShoF3EDR641,Keep,Gombe-WOFAN
P-KiyN6PV0I47,Keep,Jigawa-WOFAN
P-Sho08AHXP46,Keep,Gombe-WOFAN
P-Sho3FYZOB41,Keep,Gombe-WOFAN
P-ShoYWTTCR03,Keep,Gombe-WOFAN
P-ShoH1GAX447,Keep,Gombe-WOFAN
P-AuyC4UYS729,Keep,Jigawa-WOFAN
P-ShoMH1B7O46,Keep,Gombe-WOFAN
P-BauC4YUFU34,Suspend,Bauchi-WOFAN
P-Bau7Y1DYM54,Suspend,Bauchi-WOFAN
P-Bau11H2RB32,Suspend,Bauchi-WOFAN
P-BauO47ICS31,Suspend,Bauchi-WOFAN
P-Kiy1J1IG927,Keep,Jigawa-WOFAN
P-Bau9MJZPK16,Suspend,Bauchi-WOFAN
P-BauB1OEMB49,Suspend,Bauchi-WOFAN
P-BauAWW7JZ33,Suspend,Bauchi-WOFAN
P-TauZDOWAT06,Keep,Jigawa-WOFAN
P-BauAE70Z955,Suspend,Bauchi-WOFAN
P-BauLD75VK17,Suspend,Bauchi-WOFAN
P-BauW7JYMS12,Suspend,Bauchi-WOFAN
P-BauXSOWEX32,Suspend,Bauchi-WOFAN
P-BauKUJKSN28,Suspend,Bauchi-WOFAN
P-BauCCHL5009,Suspend,Bauchi-WOFAN
P-BauGY3ZL153,Suspend,Bauchi-WOFAN
P-BauA1E33P13,Suspend,Bauchi-WOFAN
P-JahM3KKH238,Keep,Jigawa-WOFAN
P-BauSR1LQU59,Suspend,Bauchi-WOFAN
P-BauFICY6W57,Suspend,Bauchi-WOFAN
P-MigB0XB6K19,Keep,Jigawa-WOFAN
P-Bau6L46Q654,Suspend,Bauchi-WOFAN
P-BauHQYX9L29,Suspend,Bauchi-WOFAN
P-BauANWMWE50,Suspend,Bauchi-WOFAN
P-BauK9WSMM34,Suspend,Bauchi-WOFAN
P-BauZ4YQ2T06,Suspend,Bauchi-WOFAN
P-Bau1E79IC36,Suspend,Bauchi-WOFAN
P-AkkXX8VQL59,Keep,Gombe-WOFAN
P-BauEU52EY52,Keep,Bauchi-WOFAN
P-BauNU72N657,Suspend,Bauchi-WOFAN
P-MigUO0TI014,Keep,Jigawa-WOFAN
P-BauU6YT7W30,Suspend,Bauchi-WOFAN
P-BauNWRMOK29,Suspend,Bauchi-WOFAN
P-Jah192EOT45,Suspend,Jigawa-WOFAN
P-BauTIFF8000,Suspend,Bauchi-WOFAN
P-Sho1TESI110,Keep,Gombe-WOFAN
P-Bau4SJEI438,Suspend,Bauchi-WOFAN
P-Had4IUJUA18,Keep,Jigawa-WOFAN
P-AuyCULXT747,Keep,Jigawa-WOFAN
P-Dut4X1YE823,Keep,Jigawa-WOFAN
P-GanQJZ1NY46,Keep,Bauchi-WOFAN
P-TauPGG97R31,Keep,Jigawa-WOFAN
P-DutYXAMR557,Keep,Jigawa-WOFAN
P-TofNISLGR33,Keep,Kano-WOFAN
P-JahWU0Y1R21,Suspend,Jigawa-WOFAN
P-KwaVMC41Y12,Keep,Gombe-WOFAN
P-MigM6HTD224,Keep,Jigawa-WOFAN
P-Aba506R2N57,Suspend,FCT-WOFAN
P-JahDAZRG226,Keep,Jigawa-WOFAN
P-Zar2RZVTX39,Keep,Kaduna-WOFAN
P-DutWFS2O626,Keep,Jigawa-WOFAN
P-KiyP0165649,Keep,Jigawa-WOFAN
P-MadL9UY5145,Keep,Kano-WOFAN
P-MadVA20BC46,Keep,Kano-WOFAN
P-MadCZN8N820,Keep,Kano-WOFAN
P-MadZ5ZE0801,Keep,Kano-WOFAN
P-Mad0U4QAN41,Keep,Kano-WOFAN
P-MadGILXQQ24,Keep,Kano-WOFAN
P-JahM64E5011,Suspend,Jigawa-WOFAN
P-MadT6LAUS30,Keep,Kano-WOFAN
P-JahA7QY2X28,Keep,Jigawa-WOFAN
P-Tau431HGZ10,Keep,Jigawa-WOFAN
P-DutZ1GXZH24,Keep,Jigawa-WOFAN
P-MigJL4ETI56,Keep,Jigawa-WOFAN
P-MigOUT71S16,Keep,Jigawa-WOFAN
P-DarWA5WEE30,Keep,Bauchi-WOFAN
P-AkkM1Z1EJ51,Keep,Gombe-WOFAN
P-Mig2A6AXI51,Keep,Jigawa-WOFAN
P-Mig9NDTY534,Keep,Jigawa-WOFAN
P-AuyEJ8U6R14,Keep,Jigawa-WOFAN
P-KwaOAGZN950,Keep,Gombe-WOFAN
P-Sho3UTPW404,Keep,Gombe-WOFAN
P-Kiy19KWEY02,Keep,Jigawa-WOFAN
P-Sab6EMB3G57,Keep,Kaduna-WOFAN
P-Sab96BIBO55,Keep,Kaduna-WOFAN
P-SabRNOHXW37,Keep,Kaduna-WOFAN
P-SabMP4UFB34,Keep,Kaduna-WOFAN
P-Mis5IO1QW55,Keep,Bauchi-WOFAN
P-Sab9WYDFY13,Keep,Kaduna-WOFAN
P-Sab2ZICC528,Keep,Kaduna-WOFAN
P-SabYGG1D949,Keep,Kaduna-WOFAN
P-SabDP1E2Y32,Keep,Kaduna-WOFAN
P-SabLPA41P58,Keep,Kaduna-WOFAN
P-SabG3UII311,Keep,Kaduna-WOFAN
P-SabSZ9GNM36,Keep,Kaduna-WOFAN
P-HadOLNQAI11,Keep,Jigawa-WOFAN
P-SabXBQNM500,Keep,Kaduna-WOFAN
P-SabINXT6U20,Keep,Kaduna-WOFAN
P-TorNXSKUW29,Keep,Bauchi-WOFAN
P-SabB07LIY39,Keep,Kaduna-WOFAN
P-SabYPB2RR06,Keep,Kaduna-WOFAN
P-SabK82ZM332,Keep,Kaduna-WOFAN
P-Sab78SXOC58,Keep,Kaduna-WOFAN
P-SabU41I5917,Keep,Kaduna-WOFAN
P-SabYPF4Y258,Keep,Kaduna-WOFAN
P-SabON4VZQ24,Keep,Kaduna-WOFAN
P-SabORE19851,Keep,Kaduna-WOFAN
P-JahR50H3A16,Suspend,Jigawa-WOFAN
P-SabTP12O124,Keep,Kaduna-WOFAN
P-Sab92U52H51,Keep,Kaduna-WOFAN
P-Sab0MBBES12,Keep,Kaduna-WOFAN
P-SabX20UNU43,Keep,Kaduna-WOFAN
P-SabEAB8VV58,Keep,Kaduna-WOFAN
P-DutJY348U27,Keep,Jigawa-WOFAN
P-SabV1PO9W23,Keep,Kaduna-WOFAN
P-Sab1HKDH010,Keep,Kaduna-WOFAN
P-Mak7JXGZ050,Keep,Kaduna-WOFAN
P-MakXCIJSE48,Keep,Kaduna-WOFAN
P-Sab0EJM4M25,Keep,Kaduna-WOFAN
P-SabI496VO20,Keep,Kaduna-WOFAN
P-Mak45NVMD22,Keep,Kaduna-WOFAN
P-GwaJ9C82M05,Suspend,FCT-WOFAN
P-MigP4XLU959,Keep,Jigawa-WOFAN
P-TauMCQDFU01,Keep,Jigawa-WOFAN
P-Dut4ZHGNQ38,Keep,Jigawa-WOFAN
P-Buj4N13PA31,Keep,Jigawa-WOFAN
P-JahY0X3JP36,Keep,Jigawa-WOFAN
P-BujNV0KG413,Keep,Jigawa-WOFAN
P-Buj95VC1S35,Keep,Jigawa-WOFAN
P-Buj8Y4RG837,Keep,Jigawa-WOFAN
P-JahM1MMW301,Suspend,Jigawa-WOFAN
P-BujW5Z2S545,Keep,Jigawa-WOFAN
P-BujXOUMF058,Keep,Jigawa-WOFAN
P-BujHS16NG28,Keep,Jigawa-WOFAN
P-KwaNULL7D27,Keep,Gombe-WOFAN
P-GarXFSQVH31,Keep,Kano-WOFAN
P-BujC170SU56,Keep,Jigawa-WOFAN
P-AkkKGBW9610,Keep,Gombe-WOFAN
P-BujOU647K36,Keep,Jigawa-WOFAN
P-AuyFKJ8V751,Keep,Jigawa-WOFAN
P-Buj3F94EX31,Keep,Jigawa-WOFAN
P-Gar8GHYPH40,Keep,Kano-WOFAN
P-BujHROYGC12,Keep,Jigawa-WOFAN
P-BujYO3MWB38,Keep,Jigawa-WOFAN
P-GarFUKGNW23,Keep,Kano-WOFAN
P-GanIA6D4626,Keep,Bauchi-WOFAN
P-GarL4M71D12,Keep,Kano-WOFAN
P-MigRJMS8M13,Keep,Jigawa-WOFAN
P-GarFX2EM507,Keep,Kano-WOFAN
P-GarS6L18L05,Keep,Kano-WOFAN
P-AbaCGJ5C609,Suspend,FCT-WOFAN
P-GarG0GC2038,Keep,Kano-WOFAN
P-KiyRU18XG31,Keep,Jigawa-WOFAN
P-GarKPGQEZ44,Keep,Kano-WOFAN
P-KiyTG8SHR33,Keep,Jigawa-WOFAN
P-MigSVW0PW06,Keep,Jigawa-WOFAN
P-TauMU0UG731,Keep,Jigawa-WOFAN
P-JahNFBJ1019,Suspend,Jigawa-WOFAN
P-JahDBJA2E42,Keep,Jigawa-WOFAN
P-Jah4QU5UF41,Suspend,Jigawa-WOFAN
P-MunDMK7VU01,Suspend,FCT-WOFAN
P-Tau06JCFU02,Keep,Jigawa-WOFAN
P-Buj5DT9T421,Keep,Jigawa-WOFAN
P-TorPYDVLE51,Keep,Bauchi-WOFAN
P-RimRKTKWN24,Keep,Kano-WOFAN
P-ShoMTFA5622,Keep,Gombe-WOFAN
P-TauNJ3XKV28,Keep,Jigawa-WOFAN
P-Jah57DL1M01,Keep,Jigawa-WOFAN
P-Akk6UPR6C56,Keep,Gombe-WOFAN
P-Mig83HZYX41,Suspend,Jigawa-WOFAN
P-RinK1DYQW55,Suspend,Jigawa-WOFAN
P-RinV0ZHV446,Suspend,Jigawa-WOFAN
P-RinTIC3IP58,Suspend,Jigawa-WOFAN
P-RinGYK0Z316,Suspend,Jigawa-WOFAN
P-Rin50JQIL46,Suspend,Jigawa-WOFAN
P-RinSN92BT24,Suspend,Jigawa-WOFAN
P-RinT3AK8G04,Suspend,Jigawa-WOFAN
P-BauGUO1HV32,Keep,Bauchi-WOFAN
P-BauMHQH8C00,Keep,Bauchi-WOFAN
P-MigZ94HGI26,Suspend,Jigawa-WOFAN
P-BauKTRCV349,Keep,Bauchi-WOFAN
P-MigZUOV6R20,Suspend,Jigawa-WOFAN
P-Mig0M1MBJ35,Suspend,Jigawa-WOFAN
P-DutHX6WWI11,Keep,Jigawa-WOFAN
P-Mig7RS4MK52,Suspend,Jigawa-WOFAN
P-Mig32QW4633,Suspend,Jigawa-WOFAN
P-NinTINAHI09,Keep,Bauchi-WOFAN
P-HadD9SE1K20,Keep,Jigawa-WOFAN
P-NinK4IYN544,Keep,Bauchi-WOFAN
P-NinWEGILG51,Keep,Bauchi-WOFAN
P-NinGWMWXB43,Keep,Bauchi-WOFAN
P-MigSDRVHD06,Suspend,Jigawa-WOFAN
P-NinSMMS0E10,Keep,Bauchi-WOFAN
P-BabSRD6XH33,Suspend,Jigawa-WOFAN
P-NinOPIQ8150,Keep,Bauchi-WOFAN
P-Nin8N5LZF59,Keep,Bauchi-WOFAN
P-MakXIJHG230,Keep,Kaduna-WOFAN
P-NinSG4WTY46,Keep,Bauchi-WOFAN
P-NinODIERF19,Keep,Bauchi-WOFAN
P-JahUCTWS739,Suspend,Jigawa-WOFAN
P-MigK6IV6G24,Keep,Jigawa-WOFAN
P-Nin7FXJGZ20,Keep,Bauchi-WOFAN
P-Nin8ZINAN02,Keep,Bauchi-WOFAN
P-Nin57S2Y546,Keep,Bauchi-WOFAN
P-KiyEZHIBA44,Keep,Jigawa-WOFAN
P-Nin0HA2OY37,Keep,Bauchi-WOFAN
P-NinXVX3YG11,Keep,Bauchi-WOFAN
P-NinK37BPC57,Keep,Bauchi-WOFAN
P-GanO0LUC749,Keep,Bauchi-WOFAN
P-Mig4C759202,Suspend,Jigawa-WOFAN
P-Nin0NO0W950,Keep,Bauchi-WOFAN
P-MigER5GUO42,Suspend,Jigawa-WOFAN
P-Kiy184HI702,Keep,Jigawa-WOFAN
P-NinWQ5XJC17,Keep,Bauchi-WOFAN
P-MigH4MQQV47,Suspend,Jigawa-WOFAN
P-NinS0H3F758,Keep,Bauchi-WOFAN
P-NinVIF1GW17,Keep,Bauchi-WOFAN
P-Mig0L262V31,Suspend,Jigawa-WOFAN
P-NinY5NLBU09,Keep,Bauchi-WOFAN
P-AbaF1O7OO16,Suspend,FCT-WOFAN
P-NinVEBY0A49,Keep,Bauchi-WOFAN
P-NinWZD9S202,Keep,Bauchi-WOFAN
P-RimMYV5V058,Keep,Kano-WOFAN
P-NinV8IYU710,Keep,Bauchi-WOFAN
P-Buj6RI9UF24,Keep,Jigawa-WOFAN
P-NinCN3Q6T56,Keep,Bauchi-WOFAN
P-GwaCT46DM44,Suspend,FCT-WOFAN
P-Gwa69PO0147,Suspend,Jigawa-WOFAN
P-NinMNSURD49,Keep,Bauchi-WOFAN
P-NinYQ6G4O59,Keep,Bauchi-WOFAN
P-TauZP31HB59,Keep,Jigawa-WOFAN
P-GarBI8ZYX07,Keep,Kano-WOFAN
P-Gar8P94PO06,Keep,Kano-WOFAN
P-AkkBQ7SJK56,Keep,Gombe-WOFAN
P-GarL8M38821,Keep,Kano-WOFAN
P-Buj9RZXFR25,Keep,Jigawa-WOFAN
P-GarQDSJJN31,Keep,Kano-WOFAN
P-Tau77TUVF23,Keep,Jigawa-WOFAN
P-GarRDTDBE43,Keep,Kano-WOFAN
P-Jah9KZTRG41,Keep,Jigawa-WOFAN
P-Jah1DBAB425,Keep,Jigawa-WOFAN
P-Nin5TNQ5B45,Keep,Bauchi-WOFAN
P-Jah8Z0EMI47,Keep,Jigawa-WOFAN
P-NinJWFEEF34,Keep,Bauchi-WOFAN
P-Nin2BO7YU04,Keep,Bauchi-WOFAN
P-NinAMHPDR38,Keep,Bauchi-WOFAN
P-Nin0L6S1L04,Keep,Bauchi-WOFAN
P-Nin9RBS6249,Keep,Bauchi-WOFAN
P-Jah5AWAXG08,Suspend,Jigawa-WOFAN
P-NinO3USFC43,Keep,Bauchi-WOFAN
P-NinA2IAFG04,Keep,Bauchi-WOFAN
P-Nin0K0WDY15,Keep,Bauchi-WOFAN
P-JahSGD0FJ07,Keep,Jigawa-WOFAN
P-NinXJ7VYA00,Keep,Bauchi-WOFAN
P-MunH561PQ09,Suspend,FCT-WOFAN
P-Tor92PJO850,Keep,Bauchi-WOFAN
P-BujDWSC1I30,Keep,Jigawa-WOFAN
P-MigHN6A5O42,Keep,Jigawa-WOFAN
P-KiyXMCS7M12,Keep,Jigawa-WOFAN
P-ShoHE2SSL00,Keep,Gombe-WOFAN
P-Tof5DL36A03,Keep,Kano-WOFAN
P-Mig0FQTG559,Keep,Jigawa-WOFAN
P-BujFSK47O41,Keep,Jigawa-WOFAN
P-HadFK29MT00,Keep,Jigawa-WOFAN
P-Had5Q2Y3O51,Keep,Jigawa-WOFAN
P-Had6RC8LK33,Keep,Jigawa-WOFAN
P-Had9UQL3K46,Keep,Jigawa-WOFAN
P-HadTRJPJL52,Keep,Jigawa-WOFAN
P-Had5EI8P639,Keep,Jigawa-WOFAN
P-Had9ABDTB11,Keep,Jigawa-WOFAN
P-Had43JSPP22,Keep,Jigawa-WOFAN
P-HadA3LWDT11,Keep,Jigawa-WOFAN
P-HadJVJEDI54,Keep,Jigawa-WOFAN
P-Jah0JVTKK32,Suspend,Jigawa-WOFAN
P-TauE62EJL21,Keep,Jigawa-WOFAN
P-AlkV7GZ8M16,Keep,Bauchi-WOFAN
P-RinAZ1ER449,Suspend,Jigawa-WOFAN
P-RinTNBYY912,Suspend,Jigawa-WOFAN
P-RinUZN3GS10,Suspend,Jigawa-WOFAN
P-RinNA524X26,Suspend,Jigawa-WOFAN
P-RinIJM0YE45,Suspend,Jigawa-WOFAN
P-RinAVBA8047,Suspend,Jigawa-WOFAN
P-Rin10YNM530,Suspend,Jigawa-WOFAN
P-GanYTVH8Z39,Keep,Bauchi-WOFAN
P-RinHDHVEZ54,Suspend,Jigawa-WOFAN
P-RinF701G637,Suspend,Jigawa-WOFAN
P-Alk1HQB6L11,Keep,Bauchi-WOFAN
P-Rin2Y0MGO46,Suspend,Jigawa-WOFAN
P-RinDZBPMG45,Suspend,Jigawa-WOFAN
P-BujWQ77IT39,Suspend,Jigawa-WOFAN
P-Buj5WX2DU30,Suspend,Jigawa-WOFAN
P-BujZRQ9V324,Suspend,Jigawa-WOFAN
P-BujVLCWN354,Suspend,Jigawa-WOFAN
P-KirHZAP3K36,Keep,Kano-WOFAN
P-KirS5B0KV13,Keep,Kano-WOFAN
P-KirTOYX6Q50,Keep,Kano-WOFAN
P-RinZL0WTU42,Suspend,Jigawa-WOFAN
P-RinL73V9517,Suspend,Jigawa-WOFAN
P-KirQ560X352,Keep,Kano-WOFAN
P-Alk9B0BO745,Keep,Bauchi-WOFAN
P-Rin1ETDZL53,Suspend,Jigawa-WOFAN
P-KirU74HPZ14,Keep,Kano-WOFAN
P-Rin838IWK38,Suspend,Jigawa-WOFAN
P-Kir60X9OO51,Keep,Kano-WOFAN
P-KirRH4NYW22,Keep,Kano-WOFAN
P-Rin0NN82106,Suspend,Jigawa-WOFAN
P-Rim2ZRXYX36,Keep,Kano-WOFAN
P-KirO3NYT203,Keep,Kano-WOFAN
P-RinDCN52F22,Suspend,Jigawa-WOFAN
P-KirTYXHET50,Keep,Kano-WOFAN
P-RinFP2BZK44,Suspend,Jigawa-WOFAN
P-MadIBPFBH58,Keep,Kano-WOFAN
P-KirECFSRQ36,Keep,Kano-WOFAN
P-RinP6WPID36,Suspend,Jigawa-WOFAN
P-Rin5L5UHH19,Suspend,Jigawa-WOFAN
P-RinXRK01L21,Suspend,Jigawa-WOFAN
P-MadGMZ1Q050,Keep,Kano-WOFAN
P-Rin39AAQX06,Suspend,Jigawa-WOFAN
P-RinPSA4YC07,Suspend,Jigawa-WOFAN
P-MadXFGM7322,Keep,Kano-WOFAN
P-MadAUT1UN14,Keep,Kano-WOFAN
P-HadIFF9YE21,Keep,Jigawa-WOFAN
P-DutH36DRW14,Keep,Jigawa-WOFAN
P-MadKFXAMF45,Keep,Kano-WOFAN
P-AuyUVO41S58,Keep,Jigawa-WOFAN
P-AlkRK282156,Keep,Bauchi-WOFAN
P-Auy5GWDDH01,Keep,Jigawa-WOFAN
P-Bau8U52Y634,Keep,Bauchi-WOFAN
P-BauZ6JAOL10,Keep,Bauchi-WOFAN
P-Kwa2EFIT455,Keep,Gombe-WOFAN
P-Mig31AKQ536,Keep,Jigawa-WOFAN
P-MadNS47NN36,Keep,Kano-WOFAN
P-BauBI8H0244,Keep,Bauchi-WOFAN
P-Bau8VHU3917,Keep,Bauchi-WOFAN
P-UngSIYQSM48,Keep,Kano-WOFAN
P-UngCVTO6E33,Keep,Kano-WOFAN
P-MadKT8AJ310,Keep,Kano-WOFAN
P-BauSB1P9N18,Keep,Bauchi-WOFAN
P-BauS2HNGW49,Keep,Bauchi-WOFAN
P-UngW0XE0714,Keep,Kano-WOFAN
P-Mad57N8JC21,Keep,Kano-WOFAN
P-UngJR8HIE02,Keep,Kano-WOFAN
P-Ung9ZI0UL11,Keep,Kano-WOFAN
P-MadYA4C1C40,Keep,Kano-WOFAN
P-UngVXG3RQ57,Keep,Kano-WOFAN
P-AbaQBHIS731,Suspend,FCT-WOFAN
P-Ung89A77631,Keep,Kano-WOFAN
P-UngS23R3B17,Keep,Kano-WOFAN
P-AlkBU5YQJ04,Keep,Bauchi-WOFAN
P-UngLX4ZZU18,Keep,Kano-WOFAN
P-Ung8OZE5302,Keep,Kano-WOFAN
P-UngYY5L9412,Keep,Kano-WOFAN
P-TauDWMFJ729,Keep,Jigawa-WOFAN
P-UngIBKZ6V11,Keep,Kano-WOFAN
P-UngVLYVOJ47,Keep,Kano-WOFAN
P-TauXI6S9F03,Keep,Jigawa-WOFAN
P-BujKBQ7X431,Keep,Jigawa-WOFAN
P-ShoIMU43V24,Keep,Gombe-WOFAN
P-GwaFUI14F04,Suspend,FCT-WOFAN
P-SabLH0RK050,Keep,Kaduna-WOFAN
P-MigL3SKMT41,Keep,Jigawa-WOFAN
P-SabP7F5E639,Keep,Kaduna-WOFAN
P-SabHAL5NY06,Keep,Kaduna-WOFAN
P-SabIX6I6447,Keep,Kaduna-WOFAN
P-MadHGTP5824,Keep,Kano-WOFAN
P-Mad1A6IL056,Keep,Kano-WOFAN
P-MadZ9EPPA09,Keep,Kano-WOFAN
P-ZarQ3CEP311,Keep,Kaduna-WOFAN
P-Sab92LARD32,Keep,Kaduna-WOFAN
P-AbaQ198FZ46,Suspend,FCT-WOFAN
P-BujXDFYQ321,Suspend,Jigawa-WOFAN
P-Sab9CDSCN35,Keep,Kaduna-WOFAN
P-ZarZ3BELD18,Keep,Kaduna-WOFAN
P-ZarUICR2N24,Keep,Kaduna-WOFAN
P-HadEDYJEI52,Keep,Jigawa-WOFAN
P-ZarWL404G49,Keep,Kaduna-WOFAN
P-HadGJ1KS846,Keep,Jigawa-WOFAN
P-SabLZMGF257,Keep,Kaduna-WOFAN
P-Zar2XF5YP49,Keep,Kaduna-WOFAN
P-HadF9S03E41,Keep,Jigawa-WOFAN
P-ZarX6EUXW13,Keep,Kaduna-WOFAN
P-HadZ3XWR656,Keep,Jigawa-WOFAN
P-ZarVW638E39,Keep,Kaduna-WOFAN
P-Sab4ZSZ4W18,Keep,Kaduna-WOFAN
P-HadPWQYLM00,Keep,Jigawa-WOFAN
P-ZarSX7SIK02,Keep,Kaduna-WOFAN
P-HadE2883P28,Keep,Jigawa-WOFAN
P-SabKYPBN220,Keep,Kaduna-WOFAN
P-Sab2W2DDZ32,Keep,Kaduna-WOFAN
P-Sab6H7XFO47,Keep,Kaduna-WOFAN
P-HadM4ZNNN10,Keep,Jigawa-WOFAN
P-Sab2HSLJB37,Keep,Kaduna-WOFAN
P-SabY5T5Y034,Keep,Kaduna-WOFAN
P-JahT5NIYZ45,Suspend,Jigawa-WOFAN
P-JahZT2GDQ32,Keep,Jigawa-WOFAN
P-Sab4NT6O510,Keep,Kaduna-WOFAN
P-Kwa6BL5RW38,Keep,Gombe-WOFAN
P-SabLYG3I648,Keep,Kaduna-WOFAN
P-HadQREZU929,Keep,Jigawa-WOFAN
P-SabAKVXXP51,Keep,Kaduna-WOFAN
P-HadIEOR6D27,Keep,Jigawa-WOFAN
P-SabDHOZLG06,Keep,Kaduna-WOFAN
P-HadMFQ7WI04,Keep,Jigawa-WOFAN
P-GanUROYHV11,Keep,Bauchi-WOFAN
P-ZarSOCXJV55,Keep,Kaduna-WOFAN
P-Sab8N3COX07,Keep,Kaduna-WOFAN
P-HadYRA56A38,Keep,Jigawa-WOFAN
P-SabCY7WYM43,Keep,Kaduna-WOFAN
P-Zar21YY8057,Keep,Kaduna-WOFAN
P-Sab35GWKH53,Keep,Kaduna-WOFAN
P-TorGKG27J52,Keep,Bauchi-WOFAN
P-ZarI6AX8U55,Keep,Kaduna-WOFAN
P-SabWFOXCD40,Keep,Kaduna-WOFAN
P-HadV97JIW00,Keep,Jigawa-WOFAN
P-ZarEC5OY355,Keep,Kaduna-WOFAN
P-SabD6ZYNE01,Keep,Kaduna-WOFAN
P-SabK0SQM354,Keep,Kaduna-WOFAN
P-Zar2SLEKN17,Keep,Kaduna-WOFAN
P-SabIYGL7N00,Keep,Kaduna-WOFAN
P-DutBPWQML27,Keep,Jigawa-WOFAN
P-SabP016EJ07,Keep,Kaduna-WOFAN
P-Sab0V78Z147,Keep,Kaduna-WOFAN
P-Zar6NJXBK02,Keep,Kaduna-WOFAN
P-SabCVF3ZD41,Keep,Kaduna-WOFAN
P-SabOQNPFM05,Keep,Kaduna-WOFAN
P-SabBZL84S06,Keep,Kaduna-WOFAN
P-ZarYT2LH339,Keep,Kaduna-WOFAN
P-SabV72H7R16,Keep,Kaduna-WOFAN
P-SabD3XJB808,Keep,Kaduna-WOFAN
P-ZarFSI8VU24,Keep,Kaduna-WOFAN
P-Sab5AP53B20,Keep,Kaduna-WOFAN
P-SabHLYCHW52,Keep,Kaduna-WOFAN
P-Sab5XQ13D13,Keep,Kaduna-WOFAN
P-Zar8RO53E12,Keep,Kaduna-WOFAN
P-SabQWKD7G57,Keep,Kaduna-WOFAN
P-AuyIZHL8S17,Keep,Jigawa-WOFAN
P-SabH0FQPS04,Keep,Kaduna-WOFAN
P-ZarE38W8E14,Keep,Kaduna-WOFAN
P-SabLQXRZK33,Keep,Kaduna-WOFAN
P-SabQJBA4C02,Keep,Kaduna-WOFAN
P-Zar0K3XT735,Keep,Kaduna-WOFAN
